latitude,longitude,project,city,state,priinvest,pubinvest,totinvest,jobs,tech,company_name,category,public,private
33.21,-117.32,Industrial Research and Assessment Centers,,California,0,2066387,2066387,0,Other,MIRACOSTA COMMUNITY COLLEGE DISTRICT,All - Manufacturing,Yes,No
33.21,-97.13,Industrial Research and Assessment Centers,,Texas,0,1400000,1400000,0,Other,UNIVERSITY OF NORTH TEXAS,All - Manufacturing,Yes,No
33.28,-111.9,Cemvita Factory,Tempe,Arizona,0,0,0,0,Batteries,Cemvita Factory,All - Manufacturing,No,Yes
33.28,-111.7,Li-Cycle,Gilbert,Arizona,0,0,0,0,Batteries,Li-Cycle,All - Manufacturing,No,Yes
33.28,-111.59,LG Energy Solution,Queen Creek,Arizona,4110000000,0,4110000000,0,Batteries,LG Energy Solution,All - Manufacturing,No,Yes
33.28,-93.59,Standard Lithium,Lewisville,Arkansas,1274000000,0,1274000000,100,Batteries,Standard Lithium,All - Manufacturing,No,Yes
33.28,-82,Aurubis,Augusta,Georgia,347000000,0,347000000,125,Batteries,Aurubis,All - Manufacturing,No,Yes
33.28,-82,Denkai America,Augusta,Georgia,150000000,0,150000000,250,Batteries,Denkai America,All - Manufacturing,No,Yes
33.28,-111.7,ElectraMeccanica,Mesa,Arizona,0,0,0,500,Electric Vehicles,ElectraMeccanica,All - Manufacturing,No,Yes
33.28,-111.59,LG Energy Solution,Queen Creek,Arizona,1390000000,0,1390000000,2800,Batteries,LG Energy Solution,All - Manufacturing,No,Yes
33.31,-89.17,Grants for EE and RE Improvements at Public School Facilities,,Mississippi,0,774915,774915,0,Other,CHOCTAW COUNTY SCHOOL DISTRICT,All,Yes,No
33.39,-111.7,Nxu Energy,Mesa,Arizona,0,0,0,0,Batteries,Nxu Energy,All - Manufacturing,No,Yes
33.39,-82,Stryten Energy,Augusta,Georgia,0,0,0,0,Batteries,Stryten Energy,All - Manufacturing,No,Yes
33.39,-111.8,Amphenol,Mesa,Arizona,0,0,0,50,Solar,Amphenol,All - Manufacturing,No,Yes
33.39,-82,Syensqo,Augusta,Georgia,517000000,0,517000000,100,Batteries,Syensqo,All - Manufacturing,No,Yes
33.39,-94.2,TerraVolta,Texarkana,Texas,1000000000,0,1000000000,125,Batteries,TerraVolta,All - Manufacturing,No,Yes
33.39,-84.09,NVH Korea,Locust Grove,Georgia,72000000,0,72000000,160,Electric Vehicles,NVH Korea,All - Manufacturing,No,Yes
33.39,-112.09,New East Solar,Phoenix,Arizona,0,0,0,350,Solar,New East Solar,All - Manufacturing,No,Yes
33.39,-112.4,Meyer Burger,Goodyear,Arizona,192000000,0,192000000,630,Solar,Meyer Burger,All - Manufacturing,No,Yes
33.39,-84.7,Freyr,Newnan,Georgia,2570000000,0,2570000000,723,Batteries,Freyr,All - Manufacturing,No,Yes
33.42,-111.94,Four Regional Clean Direct Air Capture Hubs,,Arizona,0,11266391,11266391,0,Fossil,ARIZONA STATE UNIVERSITY,All,Yes,No
33.42,-111.94,Energy Efficiency and Conservation Block Grant Program,,Arizona,0,236650,236650,0,Other,City of Tempe,All,Yes,No
33.42,-111.94,Energy Improvement in Rural and Remote Areas,,Arizona,0,9114064,9114064,0,Other,ARIZONA STATE UNIVERSITY,All,Yes,No
33.43,-94.06,Battery Material Processing Grants,,Texas,0,225000000,225000000,0,Batteries,TERRAVOLTA RESOURCES LLC,All - Manufacturing,Yes,No
33.43,-94.06,Energy Efficiency and Conservation Block Grant Program,,Texas,0,76440,76440,0,Other,"City of Texarkana, Texas",All,Yes,No
33.44,-112.07,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Arizona,0,50000000,50000000,0,Grid,ARIZONA PUBLIC SERVICE COMPANY,All,Yes,No
33.44,-112.07,Smart Grid Investment Matching Grants Program,,Arizona,0,20000000,20000000,0,Grid,ARIZONA PUBLIC SERVICE COMPANY,All,Yes,No
33.44,-112.07,Transmission Facilitation Fund,,Arizona,0,226336500,226336500,0,Grid,"TransCanyon Western Development, LLC",All,Yes,No
33.44,-112.07,Current and Former Mine Land Clean Energy Demos,,Arizona,0,80000000,80000000,0,Other,FREEPORT MINERALS CORPORATION,All,Yes,No
33.44,-112.07,Energy Efficiency and Conservation Block Grant Program,,Arizona,0,2068370,2068370,0,Other,EXECUTIVE OFFICE OF THE STATE OF ARIZONA,All,Yes,No
33.44,-84.14,Energy Efficiency and Conservation Block Grant Program,,Georgia,0,249580,249580,0,Other,COUNTY OF HENRY,All,Yes,No
33.44,-112.07,Energy Efficiency Revolving Loan Fund Capitalization Grant Program,,Arizona,0,1690280,1690280,0,Other,EXECUTIVE OFFICE OF THE STATE OF ARIZONA,All,Yes,No
33.44,-112.07,IRA Section 50121 Home Energy Whole House Rebates,,Arkansas,0,1760238,1760238,0,Other,EXECUTIVE OFFICE OF THE STATE OF ARIZONA,All,Yes,No
33.44,-112.07,IRA Section 50122A High Efficiency Rebate Program States,,Arizona,0,76421080,76421080,0,Other,EXECUTIVE OFFICE OF THE STATE OF ARIZONA,All,Yes,No
33.44,-112.07,IRA Section 50131b Building Energy Code,,Arizona,0,17816871,17816871,0,Other,EXECUTIVE OFFICE OF THE STATE OF ARIZONA,All,Yes,No
33.44,-112.07,IRA Section 50131c Zero Energy Code,,Arizona,0,17816871,17816871,0,Other,EXECUTIVE OFFICE OF THE STATE OF ARIZONA,All,Yes,No
33.44,-112.07,State Energy Program Grants,,Arkansas,0,7398110,7398110,0,Other,EXECUTIVE OFFICE OF THE STATE OF ARIZONA,All,Yes,No
33.44,-112.07,Weatherization Assistance Program,,Arizona,0,47518610,47518610,0,Other,"HOUSING, ARIZONA DEPARTMENT OF",All,Yes,No
33.5,-112.09,Atkore (Nextracker),Phoenix,Arizona,0,0,0,0,Solar,Atkore (Nextracker),All - Manufacturing,No,Yes
33.5,-80.7,Hounen,Orangeburg County,South Carolina,0,0,0,0,Solar,Hounen,All - Manufacturing,No,Yes
33.5,-117.2,Starz Energies,Temecula,California,0,0,0,60,Batteries,Starz Energies,All - Manufacturing,No,Yes
33.5,-80.7,Hounen,Orangeburg County,South Carolina,34000000,0,34000000,200,Solar,Hounen,All - Manufacturing,No,Yes
33.5,-112,JA Solar,Phoenix,Arizona,61000000,0,61000000,600,Solar,JA Solar,All - Manufacturing,No,Yes
33.51,-86.8,Energy Efficiency and Conservation Block Grant Program,,Alabama,0,252880,252880,0,Other,CITY OF BIRMINGHAM,All,Yes,No
33.51,-86.8,Grants for EE and RE Improvements at Public School Facilities,,Alabama,0,14999102,14999102,0,Other,JEFFERSON CO BOARD OF EDUCATION,All,Yes,No
33.58,-101.84,Building Training and Assessment Centers,,Texas,0,900000,900000,0,Other,TEXAS TECH UNIVERSITY SYSTEM,All,Yes,No
33.58,-112.2,Energy Efficiency and Conservation Block Grant Program,,Arizona,0,259960,259960,0,Other,"Glendale, City of",All,Yes,No
33.6,-88.7,Southern Ionics,West Point,Mississippi,0,0,0,0,Batteries,Southern Ionics,All - Manufacturing,No,Yes
33.6,-80.79,Birla Carbon,Orangeburg,South Carolina,1000000000,0,1000000000,124,Batteries,Birla Carbon,All - Manufacturing,No,Yes
33.6,-83.79,Ascend Elements,Covington,Georgia,43000000,0,43000000,150,Batteries,Ascend Elements,All - Manufacturing,No,Yes
33.6,-81.7,Columbia Vehicle Group,Aiken,South Carolina,12000000,0,12000000,180,Electric Vehicles,Columbia Vehicle Group,All - Manufacturing,No,Yes
33.6,-83.79,Archer,Covington,Georgia,118000000,0,118000000,1000,Electric Vehicles,Archer,All - Manufacturing,No,Yes
33.6,-83.7,Rivian,Rutledge,Georgia,5000000000,0,5000000000,7500,Electric Vehicles,Rivian,All - Manufacturing,No,Yes
33.66,-80.77,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,South Carolina,0,4665803,4665803,0,Grid,TRI-COUNTY ELECTRIC COOPERATIVE INC,All,Yes,No
33.68,-117.79,Long Duration Demonstration Joint Initiative,,California,0,29999693,29999693,0,Grid,"CHARGE BLISS, INC",All,Yes,No
33.68,-117.79,Advanced Industrial Facilities Deployment Program,,Texas,0,75000000,75000000,0,Other,BASF Corporation,All - Manufacturing,Yes,No
33.68,-117.79,Energy Efficiency and Conservation Block Grant Program,,California,0,333830,333830,0,Other,CITY OF IRVINE,All,Yes,No
33.68,-116.15,Energy Efficiency and Conservation Block Grant Program,,California,0,76350,76350,0,Other,CITY OF COACHELLA,All,Yes,No
33.68,-117.79,Advanced Technology Vehicles Manufacturing Loans,,California,0,5975641216,5975641216,0,Electric Vehicles,"RIVIAN NEW HORIZON, LLC",All - Manufacturing,Yes,No
33.69,-117.99,Advanced Energy Manufacturing and Recycling Grant,,Michigan,0,28248485,28248485,0,Other,TS Conductor Corp.,All - Manufacturing,Yes,No
33.7,-117.7,Enevate,Irvine,California,0,0,0,0,Batteries,Enevate,All - Manufacturing,No,Yes
33.7,-84,LioChem,Conyers,Georgia,0,0,0,0,Batteries,LioChem,All - Manufacturing,No,Yes
33.7,-117.9,ChargeTronix,Costa Mesa,California,0,0,0,0,Electric Vehicles,ChargeTronix,All - Manufacturing,No,Yes
33.7,-86.7,Autocar,Birmingham,Alabama,0,0,0,0,Electric Vehicles,Autocar,All - Manufacturing,No,Yes
33.7,-85.29,Honda,Tallapoosa,Georgia,0,0,0,0,Electric Vehicles,Honda,All - Manufacturing,No,Yes
33.7,-89.79,Modine,Grenada,Mississippi,7000000,0,7000000,0,Heat Pumps & Clean HVAC,Modine,All - Manufacturing,No,Yes
33.7,-118.2,Long Beach Harbor Commission (Pier Port),Long Beach,California,0,0,0,0,Offshore Wind,Long Beach Harbor Commission (Pier Port),All - Manufacturing,No,Yes
33.7,-118.2,Long Beach Harbor Commission (Pier Port),Long Beach,California,6500000,0,6500000,0,Offshore Wind,Long Beach Harbor Commission (Pier Port),All - Manufacturing,No,Yes
33.7,-84.4,Rayzon/Adion Solar,Atlanta,Georgia,0,0,0,0,Solar,Rayzon/Adion Solar,All - Manufacturing,No,Yes
33.72,-94.39,Carbon Capture Demonstration Projects Program,,Arkansas,0,7581354,7581354,0,Fossil,SOUTHERN STATES ENERGY BOARD,All,Yes,No
33.72,-116.36,Energy Efficiency and Conservation Block Grant Program,,California,0,118040,118040,0,Other,CITY OF PALM DESERT,All,Yes,No
33.75,-84.39,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Georgia,0,26019581,26019581,0,Grid,Georgia Environmental Finance Authority,All,Yes,No
33.75,-84.39,Smart Grid Investment Matching Grants Program,,Georgia,0,160296888,160296888,0,Grid,GEORGIA POWER COMPANY,All,Yes,No
33.75,-84.39,Industrial Research and Assessment Centers,,Georgia,0,3750000,3750000,0,Other,Georgia Tech Research Corporation,All - Manufacturing,Yes,No
33.75,-84.39,Industrial Research and Assessment Centers,,Georgia,0,2000000,2000000,0,Other,ATLANTA TECHNICAL COLLEGE,All - Manufacturing,Yes,No
33.75,-84.39,Industrial Research and Assessment Centers,,Georgia,0,1400000,1400000,0,Other,Georgia Tech Research Corporation,All - Manufacturing,Yes,No
33.75,-84.39,Clean Hydrogen Electrolysis Program,,Georgia,0,3577398,3577398,0,Hydrogen,Georgia Tech Research Corporation,All,Yes,No
33.75,-84.39,Clean Hydrogen Electrolysis Program,,Georgia,0,2400000,2400000,0,Hydrogen,Georgia Tech Research Corporation,All,Yes,No
33.75,-84.39,Energy Efficiency and Conservation Block Grant Program,,Georgia,0,2989230,2989230,0,Other,Georgia Environmental Finance Authority,All,Yes,No
33.75,-84.39,Energy Efficiency and Conservation Block Grant Program,,Georgia,0,152310,152310,0,Other,CITY OF SOUTH FULTON,All,Yes,No
33.75,-84.39,Energy Efficiency and Conservation Block Grant Program,,Georgia,0,528330,528330,0,Other,City of Atlanta,All,Yes,No
33.75,-84.39,Energy Efficiency Materials Pilot Program,,Georgia,0,5870000,5870000,0,Other,"SOUTHFACE ENERGY INSTITUTE, INC",All,Yes,No
33.75,-84.39,Energy Efficiency Revolving Loan Fund Capitalization Grant Program,,Georgia,0,2453810,2453810,0,Other,Georgia Environmental Finance Authority,All,Yes,No
33.75,-84.39,Grants for Updating Building Energy Codes,,Georgia,0,1397000,1397000,0,Other,SOUTHEAST ENERGY EFFICIENCY ALLIANCE INC,All,Yes,No
33.75,-84.39,Grants for Updating Building Energy Codes,,Georgia,0,986575,986575,0,Other,SOUTHEAST ENERGY EFFICIENCY ALLIANCE INC,All,Yes,No
33.75,-84.39,Grants for Updating Building Energy Codes,,Georgia,0,1600000,1600000,0,Other,SOUTHEAST ENERGY EFFICIENCY ALLIANCE INC,All,Yes,No
33.75,-84.39,IRA Section 50121 Home Energy Whole House Rebates,,Georgia,0,109600726,109600726,0,Other,Georgia Environmental Finance Authority,All,Yes,No
33.75,-84.39,IRA Section 50122A High Efficiency Rebate Program States,,Georgia,0,109178020,109178020,0,Other,Georgia Environmental Finance Authority,All,Yes,No
33.75,-84.39,State Energy Program Grants,,Georgia,0,10814200,10814200,0,Other,Georgia Environmental Finance Authority,All,Yes,No
33.75,-84.39,Weatherization Assistance Program,,Georgia,0,84313639,84313639,0,Other,Georgia Environmental Finance Authority,All,Yes,No
33.76,-118.19,Energy Efficiency and Conservation Block Grant Program,,California,0,423290,423290,0,Other,"Long Beach, City Of",All,Yes,No
33.77,-84.29,Energy Efficiency and Conservation Block Grant Program,,Georgia,0,400000,400000,0,Other,CITY OF DECATUR,All,Yes,No
33.78,-81.2,Phono Solar (SUMEC Group),,South Carolina,0,0,0,0,Solar,Phono Solar (SUMEC Group),All - Manufacturing,No,Yes
33.78,-118,Harbinger Motors,Garden Grove,California,0,0,0,160,Electric Vehicles,Harbinger Motors,All - Manufacturing,No,Yes
33.79,-118.16,Energy Storage Demonstration Pilot Grant Program,,Minnesota,0,10000000,10000000,0,Grid,REJOULE INCORPORATED,All,Yes,No
33.8,-117.83,Energy Efficiency and Conservation Block Grant Program,,California,0,189950,189950,0,Other,"ORANGE, CITY OF",All,Yes,No
33.88,-80.9,Westinghouse,Columbia,South Carolina,0,0,0,0,Nuclear,Westinghouse,All - Manufacturing,No,Yes
33.88,-117.92,Energy Efficiency and Conservation Block Grant Program,,California,0,183850,183850,0,Other,"Fullerton, City Of",All,Yes,No
33.89,-117.9,Mullen Automotive,Fullerton,California,0,0,0,0,Batteries,Mullen Automotive,All - Manufacturing,No,Yes
33.89,-117.9,Solid Energies Inc.,Anaheim,California,4000000,0,4000000,0,Batteries,Solid Energies Inc.,All - Manufacturing,No,Yes
33.89,-117.8,Phoenix Motorcars,Anaheim,California,0,0,0,0,Electric Vehicles,Phoenix Motorcars,All - Manufacturing,No,Yes
33.89,-80.4,SPI Energy/Solar4America,Sumter County,South Carolina,0,0,0,0,Solar,SPI Energy/Solar4America,All - Manufacturing,No,Yes
33.89,-80.29,e-VAC Magnetics,Sumter,South Carolina,500000000,0,500000000,300,Electric Vehicles,e-VAC Magnetics,All - Manufacturing,No,Yes
33.89,-80.4,SPI Energy/SEM Wafertech,Sumter County,South Carolina,66000000,0,66000000,300,Solar,SPI Energy/SEM Wafertech,All - Manufacturing,No,Yes
33.89,-80.9,Cirba Solutions,Columbia,South Carolina,323000000,0,323000000,310,Batteries,Cirba Solutions,All - Manufacturing,No,Yes
33.95,-84.54,Energy Efficiency and Conservation Block Grant Program,,Georgia,0,557290,557290,0,Other,COUNTY OF COBB,All,Yes,No
33.96,-86.09,USNC,Gadsden,Alabama,232000000,0,232000000,250,Nuclear,USNC,All - Manufacturing,No,Yes
33.96,-118.02,Energy Efficiency and Conservation Block Grant Program,,California,0,140540,140540,0,Other,CITY OF WHITTIER,All,Yes,No
33.97,-84.21,Grants for Updating Building Energy Codes,,Georgia,0,2850000,2850000,0,Other,"American Society of Heating, Refrigerating and Air-conditioning Engineers, Inc.",All,Yes,No
33.98,-118.08,Energy Efficiency and Conservation Block Grant Program,,California,0,120010,120010,0,Other,City of Pico Rivera,All,Yes,No
33.98,-117.37,Energy Efficiency and Conservation Block Grant Program,,California,0,477090,477090,0,Other,County of Riverside,All,Yes,No
33.98,-117.37,Energy Efficiency and Conservation Block Grant Program,,California,0,325070,325070,0,Other,CITY OF RIVERSIDE,All,Yes,No
33.99,-96.38,Energy Efficiency and Conservation Block Grant Program,,Oklahoma,0,82030,82030,0,Other,Choctaw Nation of Oklahoma,All,Yes,No
34,-84.5,Birla Carbon,Marietta,Georgia,0,0,0,0,Batteries,Birla Carbon,All - Manufacturing,No,Yes
34,-84,Stryten Energy,,Georgia,0,0,0,0,Batteries,Stryten Energy,All - Manufacturing,No,Yes
34,-117.7,Siemens,Pomona,California,40000000,0,40000000,0,Electric Vehicles,Siemens,All - Manufacturing,No,Yes
34,-93.09,SGL Carbon,Arkadelphia,Arkansas,5000000,0,5000000,35,Electric Vehicles,SGL Carbon,All - Manufacturing,No,Yes
34,-84.2,Suniva,Norcross,Georgia,110000000,0,110000000,240,Solar,Suniva,All - Manufacturing,No,Yes
34,-81.09,Enphase Energy/Flex,West Columbia,South Carolina,20000000,0,20000000,600,Solar,Enphase Energy/Flex,All - Manufacturing,No,Yes
34,-85.29,Solarcycle,Cedartown,Georgia,344000000,0,344000000,600,Solar,Solarcycle,All - Manufacturing,No,Yes
34,-117.82,Energy Efficiency and Conservation Block Grant Program,,California,0,114980,114980,0,Other,"DIAMOND BAR, CITY OF",All,Yes,No
34,-81.04,Energy Efficiency and Conservation Block Grant Program,,South Carolina,0,2176180,2176180,0,Other,EXECUTIVE OFFICE OF THE STATE OF SOUTH CAROLINA,All,Yes,No
34,-81.04,IRA Section 50121 Home Energy Whole House Rebates,,South Carolina,0,1721310,1721310,0,Other,EXECUTIVE OFFICE OF THE STATE OF SOUTH CAROLINA,All,Yes,No
34,-81.04,IRA Section 50122A High Efficiency Rebate Program States,,South Carolina,0,1711291,1711291,0,Other,EXECUTIVE OFFICE OF THE STATE OF SOUTH CAROLINA,All,Yes,No
34,-81.04,State Energy Program Grants,,South Carolina,0,6883410,6883410,0,Other,EXECUTIVE OFFICE OF THE STATE OF SOUTH CAROLINA,All,Yes,No
34,-81.04,Weatherization Assistance Program,,South Carolina,0,42582236,42582236,0,Other,South Carolina Office Of State Treasurer,All,Yes,No
34.02,-118.48,Energy Efficiency and Conservation Block Grant Program,,California,0,157730,157730,0,Other,CITY OF SANTA MONICA,All,Yes,No
34.05,-118.24,Four Regional Clean Direct Air Capture Hubs,,California,0,10414990,10414990,0,Fossil,CARBON CAPTURE INC,All,Yes,No
34.05,-118.24,Smart Grid Investment Matching Grants Program,,California,0,48000000,48000000,0,Grid,LOS ANGELES DEPARTMENT OF WATER & POWER,All,Yes,No
34.05,-118.24,Advanced Industrial Facilities Deployment Program,,Ohio,0,500000000,500000000,0,Other,CLEVELAND-CLIFFS STEEL CORPORATION,All - Manufacturing,Yes,No
34.05,-118.24,Advanced Industrial Facilities Deployment Program,,Washington,0,46594001,46594001,0,Other,"NIPPON DYNAWAVE PACKAGING COMPANY, LLC",All - Manufacturing,Yes,No
34.05,-118.24,Energy Efficiency and Conservation Block Grant Program,,California,0,1344700,1344700,0,Other,County Of Los Angeles,All,Yes,No
34.05,-118.24,Grants for Updating Building Energy Codes,,California,0,3800000,3800000,0,Other,California Green Building Council,All,Yes,No
34.05,-118.24,"Efficient Electrical Generation, Transmission, and Distribution Technologies",,California,0,1054348760,1054348760,0,Grid,EVgo Swift Borrower LLC,All,Yes,No
34.05,-118.24,Renewable Energy Systems,,California,0,303694000,303694000,0,Other,"IceBrick Energy Assets I, LLC",All - Manufacturing,Yes,No
34.07,-84.28,Battery Material Processing Grants,,Georgia,0,178218568,178218568,0,Batteries,SOLVAY SPECIALTY POLYMERS USA LLC,All - Manufacturing,Yes,No
34.07,-84.28,Energy Efficiency and Conservation Block Grant Program,,Georgia,0,76350,76350,0,Other,CITY OF MILTON GA,All,Yes,No
34.1,-118.3,Xos,Los Angeles,California,0,0,0,0,Batteries,Xos,All - Manufacturing,No,Yes
34.1,-118.3,Xos,Los Angeles,California,0,0,0,0,Electric Vehicles,Xos,All - Manufacturing,No,Yes
34.1,-117.59,KIGT,Ontario,California,0,0,0,0,Electric Vehicles,KIGT,All - Manufacturing,No,Yes
34.1,-117.5,Cenntro Automotive,Ontario,California,0,0,0,0,Electric Vehicles,Cenntro Automotive,All - Manufacturing,No,Yes
34.1,-117.3,RYVID,San Bernardino,California,24000000,0,24000000,264,Electric Vehicles,RYVID,All - Manufacturing,No,Yes
34.1,-83.79,Duckyang,Braselton,Georgia,10000000,0,10000000,285,Electric Vehicles,Duckyang,All - Manufacturing,No,Yes
34.1,-117.46,Energy Efficiency and Conservation Block Grant Program,,California,0,230640,230640,0,Other,City of Fontana,All,Yes,No
34.13,-87.98,Smart Grid Investment Matching Grants Program,,Alabama,0,11176150,11176150,0,Grid,"TOMBIGBEE ELECTRIC COOPERATIVE, INC",All,Yes,No
34.18,-79.39,Grants for EE and RE Improvements at Public School Facilities,,South Carolina,0,7500000,7500000,0,Other,MARION COUNTY SCHOOL DISTRICT,All,Yes,No
34.2,-80.59,Denkai America,Camden,South Carolina,12000000,0,12000000,0,Batteries,Denkai America,All - Manufacturing,No,Yes
34.2,-82.09,ES Foundry,Greenwood,South Carolina,0,0,0,0,Solar,ES Foundry,All - Manufacturing,No,Yes
34.2,-80.59,Denkai America,Camden,South Carolina,14000000,0,14000000,10,Batteries,Denkai America,All - Manufacturing,No,Yes
34.2,-119.2,Wiggins Lift,Oxnard,California,17000000,0,17000000,31,Electric Vehicles,Wiggins Lift,All - Manufacturing,No,Yes
34.2,-79.79,ABB E-mobility,Florence,South Carolina,4000000,0,4000000,100,Electric Vehicles,ABB E-mobility,All - Manufacturing,No,Yes
34.2,-83.59,TIESNA,Pendergrass,Georgia,69000000,0,69000000,250,Electric Vehicles,TIESNA,All - Manufacturing,No,Yes
34.2,-79.79,Clarios Circular Solutions,Florence,South Carolina,150000000,0,150000000,375,Batteries,Clarios Circular Solutions,All - Manufacturing,No,Yes
34.2,-84.79,Qcells,Cartersville,Georgia,2292000000,0,2292000000,2500,Solar,Qcells,All - Manufacturing,No,Yes
34.2,-79.7,Envision AESC,Florence,South Carolina,3120000000,0,3120000000,2700,Batteries,Envision AESC,All - Manufacturing,No,Yes
34.2,-84.9,SK On / Hyundai,Cartersville,Georgia,5000000000,0,5000000000,3500,Batteries,SK On / Hyundai,All - Manufacturing,No,Yes
34.2,-81,Scout,Blythewood,South Carolina,2000000000,0,2000000000,4000,Electric Vehicles,Scout,All - Manufacturing,No,Yes
34.2,-84.13,Energy Efficiency and Conservation Block Grant Program,,Georgia,0,259710,259710,0,Other,COUNTY OF FORSYTH,All,Yes,No
34.22,-77.91,Energy Efficiency and Conservation Block Grant Program,,North Carolina,0,172690,172690,0,Other,"Wilmington, City Of",All,Yes,No
34.26,-119.25,Industrial Research and Assessment Centers,,California,0,750000,750000,0,Other,SHEET METAL WORKERS AND TRI COUNTY A/C,All - Manufacturing,Yes,No
34.28,-84.79,Hanwha Advanced Materials Georgia (HAGA),Bartow County,Georgia,147000000,0,147000000,160,Solar,Hanwha Advanced Materials Georgia (HAGA),All - Manufacturing,No,Yes
34.28,-78.2,Epsilon Advanced Material,Wilmington,North Carolina,650000000,0,650000000,500,Batteries,Epsilon Advanced Material,All - Manufacturing,No,Yes
34.28,-84.74,Advanced Industrial Facilities Deployment Program,,California,0,500000000,500000000,0,Other,"NATIONAL CEMENT COMPANY OF CALIFORNIA, INC.",All - Manufacturing,Yes,No
34.28,-84.74,Renewable Energy Systems,,Georgia,0,1450000000,1450000000,0,Solar,"Hanwha Q Cells Georgia, Inc.",All - Manufacturing,Yes,No
34.32,-77.92,Global Nuclear Fuel - Americas,Wilmington,North Carolina,200000000,0,200000000,100,Nuclear,Global Nuclear Fuel - Americas,All - Manufacturing,No,Yes
34.39,-119.8,Intriplex Technologies,Santa Barbara,California,0,0,0,0,Batteries,Intriplex Technologies,All - Manufacturing,No,Yes
34.39,-96.09,Green Li-ion,Atoka,Oklahoma,0,0,0,0,Batteries,Green Li-ion,All - Manufacturing,No,Yes
34.5,-92.9,U.S. Vanadium,Hot Springs,Arkansas,2000000,0,2000000,0,Batteries,U.S. Vanadium,All - Manufacturing,No,Yes
34.5,-92.9,U.S. Vanadium,Hot Springs,Arkansas,6000000,0,6000000,0,Batteries,U.S. Vanadium,All - Manufacturing,No,Yes
34.5,-83.2,SungEel Recycling Park Georgia,Toccoa,Georgia,37000000,0,37000000,104,Batteries,SungEel Recycling Park Georgia,All - Manufacturing,No,Yes
34.5,-82.7,Mojave,Anderson,South Carolina,4000000,0,4000000,200,Heat Pumps & Clean HVAC,Mojave,All - Manufacturing,No,Yes
34.5,-82.65,Bosch,Anderson,South Carolina,200000000,0,200000000,350,Hydrogen,Bosch,All - Manufacturing,No,Yes
34.5,-82.65,Clean Hydrogen Electrolysis Program,,South Carolina,0,4902057,4902057,0,Hydrogen,Clemson University,All,Yes,No
34.5,-82.65,Energy Efficiency and Conservation Block Grant Program,,South Carolina,0,227180,227180,0,Other,ANDERSON COUNTY,All,Yes,No
34.57,-118.11,Energy Efficiency and Conservation Block Grant Program,,California,0,197390,197390,0,Other,CITY OF PALMDALE PUBLIC WORKS,All,Yes,No
34.6,-98.5,Westwin Elements,Lawton,Oklahoma,11000000,0,11000000,85,Batteries,Westwin Elements,All - Manufacturing,No,Yes
34.6,-106.7,Arcosa,Belen,New Mexico,64000000,0,64000000,250,Land-Based Wind,Arcosa,All - Manufacturing,No,Yes
34.6,-82.2,ZF,Gray Court,South Carolina,500000000,0,500000000,400,Electric Vehicles,ZF,All - Manufacturing,No,Yes
34.6,-87.09,First Solar,Trinity,Alabama,1103000000,0,1103000000,715,Solar,First Solar,All - Manufacturing,No,Yes
34.61,-120.08,IRA Section 50152 Interstate Transmission Grants,,California,0,5584683,5584683,0,Grid,SANTA YNEZ BAND OF MISSION INDIANS,All,Yes,No
34.65,-82.78,Clean Hydrogen Electrolysis Program,,South Carolina,0,4999994,4999994,0,Hydrogen,TETRAMER TECHNOLOGIES LLC,All,Yes,No
34.7,-83,Clarios,West Union,South Carolina,16000000,0,16000000,12,Batteries,Clarios,All - Manufacturing,No,Yes
34.7,-79.9,Ferroglobe,Wallace,South Carolina,20000000,0,20000000,19,Batteries,Ferroglobe,All - Manufacturing,No,Yes
34.7,-81.09,Princeton NuEnergy,Chester,South Carolina,11000000,0,11000000,41,Batteries,Princeton NuEnergy,All - Manufacturing,No,Yes
34.7,-82.29,STAR EV,Simpsonville,South Carolina,9000000,0,9000000,50,Electric Vehicles,STAR EV,All - Manufacturing,No,Yes
34.7,-86.59,OMCO Solar,Huntsville,Alabama,10000000,0,10000000,100,Solar,OMCO Solar,All - Manufacturing,No,Yes
34.7,-83,BorgWarner,Seneca,South Carolina,42000000,0,42000000,122,Batteries,BorgWarner,All - Manufacturing,No,Yes
34.7,-87.7,Urbix,Muscle Shoals,Alabama,125000000,0,125000000,200,Batteries,Urbix,All - Manufacturing,No,Yes
34.7,-81,Albemarle,Richburg,South Carolina,1300000000,0,1300000000,300,Batteries,Albemarle,All - Manufacturing,No,Yes
34.7,-85,Qcells,Dalton,Georgia,170000000,0,170000000,470,Solar,Qcells,All - Manufacturing,No,Yes
34.7,-82.4,EnerSys,Gantt,South Carolina,615000000,0,615000000,500,Batteries,EnerSys,All - Manufacturing,No,Yes
34.7,-85,Qcells,Dalton,Georgia,208000000,0,208000000,510,Solar,Qcells,All - Manufacturing,No,Yes
34.73,-92.33,Grants for EE and RE Improvements at Public School Facilities,,Arkansas,0,11250000,11250000,0,Other,LITTLE ROCK SCHOOL BOARD,All,Yes,No
